XRP,,,,LTC,,,,BTC,,,,ETH,,,,,,,,
Date,Open,,,Date,Open,,,Date,Open,,,Date,Open,,,,XRP,LTC,BTC,ETH
3/12/2018,0.832127,0.361794348,,3/12/2018,189.02,0.815901929,,3/12/2018,9602.93,0.68047009,,3/12/2018,724.41,0.958518577,,3/12/2018,0.361794348,0.815901929,0.68047009,0.958518577
3/13/2018,0.798451,0.347152609,,3/13/2018,177.6,0.766607675,,3/13/2018,9173.04,0.650007795,,3/13/2018,698.15,0.923772097,,3/13/2018,0.347152609,0.766607675,0.650007795,0.923772097
3/14/2018,0.789569,0.34329087,,3/14/2018,175.94,0.75944231,,3/14/2018,9214.65,0.652956307,,3/14/2018,691.22,0.914602519,,3/14/2018,0.34329087,0.75944231,0.652956307,0.914602519
3/15/2018,0.702913,0.305614348,,3/15/2018,161.2,0.695817326,,3/15/2018,8290.76,0.587488839,,3/15/2018,614.84,0.81353869,,3/15/2018,0.305614348,0.695817326,0.587488839,0.81353869
3/16/2018,0.699063,0.303940435,,3/16/2018,164.82,0.711443001,,3/16/2018,8322.91,0.58976701,,3/16/2018,611.78,0.809489785,,3/16/2018,0.303940435,0.711443001,0.58976701,0.809489785
3/17/2018,0.687745,0.299019565,,3/17/2018,165.19,0.7130401,,3/17/2018,8321.91,0.589696149,,3/17/2018,601.68,0.796125754,,3/17/2018,0.299019565,0.7130401,0.589696149,0.796125754
3/18/2018,0.634466,0.275854783,,3/18/2018,152.54,0.658436569,,3/18/2018,7890.52,0.559127563,,3/18/2018,551.64,0.729914258,,3/18/2018,0.275854783,0.658436569,0.559127563,0.729914258
3/19/2018,0.672126,0.292228696,,3/19/2018,155.47,0.671083869,,3/19/2018,8344.12,0.591269965,,3/19/2018,546.63,0.72328517,,3/19/2018,0.292228696,0.671083869,0.591269965,0.72328517
3/20/2018,0.736759,0.32033,,3/20/2018,161.52,0.697198601,,3/20/2018,8619.67,0.610795624,,3/20/2018,556.72,0.736635969,,3/20/2018,0.32033,0.697198601,0.610795624,0.736635969
3/21/2018,0.713055,0.310023913,,3/21/2018,169.56,0.731903138,,3/21/2018,8937.48,0.633315854,,3/21/2018,559.1,0.739785117,,3/21/2018,0.310023913,0.731903138,0.633315854,0.739785117
3/22/2018,0.693145,0.301367391,,3/22/2018,168.72,0.728277291,,3/22/2018,8939.44,0.633454741,,3/22/2018,562.1,0.743754631,,3/22/2018,0.301367391,0.728277291,0.633454741,0.743754631
3/23/2018,0.663111,0.28830913,,3/23/2018,163.58,0.70609056,,3/23/2018,8736.25,0.619056561,,3/23/2018,539.86,0.7143273,,3/23/2018,0.28830913,0.70609056,0.619056561,0.7143273
3/24/2018,0.646214,0.280962609,,3/24/2018,168.53,0.727457159,,3/24/2018,8901.95,0.630798175,,3/24/2018,542.57,0.717913094,,3/24/2018,0.280962609,0.727457159,0.630798175,0.717913094
3/25/2018,0.638632,0.277666087,,3/25/2018,158.86,0.685716752,,3/25/2018,8612.81,0.610309519,,3/25/2018,522.7,0.691621679,,3/25/2018,0.277666087,0.685716752,0.610309519,0.691621679
