X,r0,r2,r3,r5,r7,r10,r12,r17,r18,r23,r25,r28,r30,r32,r33,count
389,,2,,,,,,,,,,,,,,1
390,0,,,5,,,12,,18,23,,,,,,5
391,,,,5,,,,,18,,,,,,,2
392,,,,5,,,,,,,25,,,,,2
393,0,,,5,,,,,,,,,,32,33,4
394,,,3,,,,12,,,,25,,,,,3
395,,,,,,,,,,,,,,,,0
396,,,,,,10,12,,18,,,,30,,,4
397,,,,5,,,,,,,,,,32,,2
398,,,,,,10,,,,23,,,,,,2
399,,,,,,,,,,,,,,,,0
400,,,,,,10,,,,,,,30,,,2
401,,2,,,,,,,18,23,,,30,,,4
402,,,,,,,,17,,,,,,,,1
403,0,,,,,,,,,,,,30,,,2
404,,,3,5,,,,,,23,,,,,,3
405,,,,,7,,,,,,25,,,,,2
406,,,,,,,12,17,,,,28,,32,,4
407,,,,,,,,,,,25,,,,33,2
408,,,,,,,,,,23,25,,,,,2
409,,,,,7,,,,,23,,,,,,2
410,,2,,,,,,,,,,,,32,,2
411,,,,,7,10,,,,,,,,,,2
412,,2,,,,,,,18,,,,,,,2
413,,,,,,,,,,,,,,,33,1
414,,,,,,,12,,,,,,30,,,2
415,0,,,5,,,12,17,,,,,,,,4
416,,,,,,,,,,,25,,30,,33,3
417,,,3,,,10,12,,,,25,,,,,4
418,,,,,,,,,,,,,30,,,1
419,,2,,,,,,,,,,,,,,1
420,,,,,,10,,,,23,,,,,,2
421,,,,,,10,,,,,,,30,,33,3
422,,,,,7,,,,,,,,30,32,33,4
423,,,,,,,,,,,,,,,,0
424,,,,5,,,,,,,,,,,,1
425,,,,,,,,,,,,,,,,0
426,,,,,,10,,17,,23,,,,,33,4
427,0,,,,,,,,,,25,,,,,2
428,,,3,,,,,,,23,,,,32,,3
429,,,,,,,,,18,,,,,,,1
430,,,,,,,12,17,,23,,,,,,3
431,,,3,,,,,,18,,,28,,,,3
432,,,,,,,,17,,,,,,,,1
433,,,,,,,,,,,25,28,,,33,3
434,0,2,,,,,,,,,,,,,,2
435,,,3,,,,,,18,,,,,,,2
436,,2,,,,,,,,,,,,,,1
437,,,,,7,,,,,,,,,,33,2
438,,,,,,,,,,,,,,,33,1
439,,,,5,,,,,,,,,,32,,2
440,0,,,,,10,,,,,,28,,,,3
441,,,,5,,10,12,,,,,,30,,,4
442,,,,,7,,,,,23,,,,,,2
443,,,,,,,,17,,,,,,,,1
444,0,2,,,7,,,,,,,,,,,3
445,,,,5,7,,,,18,,,,,,,3
446,,,,,7,,,17,,,25,,,,,3
447,,,3,,7,,,,,23,,,,,,3
