Date,Open,High,Low,Close
2018-1-19,1.58,1.7,1.5,1.55
2018-1-18,1.31,1.73,1.26,1.6
2018-1-17,1.18,1.38,0.897797,1.31
2018-1-16,1.68,1.7,0.909313,1.18
2018-1-15,1.86,1.9,1.67,1.68
2018-1-14,2.02,2.02,1.81,1.86
2018-1-13,2.05,2.12,1.98,2.02
2018-1-12,1.94,2.16,1.87,2.04
2018-1-11,1.98,2.25,1.62,1.95
2018-1-10,2.13,2.16,1.7,1.97
2018-1-9,2.44,2.53,1.98,2.1
2018-1-8,3.36,3.36,2.07,2.46
2018-1-7,3.09,3.49,3.08,3.38
2018-1-6,3.02,3.24,2.99,3.09
2018-1-5,3.3,3.56,2.83,3.05
2018-1-4,3.12,3.84,3.12,3.2
2018-1-3,2.46,3.28,2.44,3.11
2018-1-2,2.37,2.49,2.25,2.48
2018-1-1,2.3,2.39,2.15,2.39
