len1,len2,len3,len4,len5,len6,len7
35.5331171,25.72815608,78.67774639,100.7505279,52.98604955,93.36843903,131.8987971
25.72815608,78.67774639,100.7505279,52.98604955,93.36843903,131.8987971,79.03794676
78.67774639,100.7505279,52.98604955,93.36843903,131.8987971,79.03794676,13.50104824
100.7505279,52.98604955,93.36843903,131.8987971,79.03794676,13.50104824,17.74930734
52.98604955,93.36843903,131.8987971,79.03794676,13.50104824,17.74930734,32.44742898
93.36843903,131.8987971,79.03794676,13.50104824,17.74930734,32.44742898,46.75647519
131.8987971,79.03794676,13.50104824,17.74930734,32.44742898,46.75647519,55.1546967
79.03794676,13.50104824,17.74930734,32.44742898,46.75647519,55.1546967,94.30903475
13.50104824,17.74930734,32.44742898,46.75647519,55.1546967,94.30903475,97.12459197
17.74930734,32.44742898,46.75647519,55.1546967,94.30903475,97.12459197,39.369259
32.44742898,46.75647519,55.1546967,94.30903475,97.12459197,39.369259,46.08228412
46.75647519,55.1546967,94.30903475,97.12459197,39.369259,46.08228412,100.5472426
55.1546967,94.30903475,97.12459197,39.369259,46.08228412,100.5472426,139.1462485
94.30903475,97.12459197,39.369259,46.08228412,100.5472426,139.1462485,112.5655388
97.12459197,39.369259,46.08228412,100.5472426,139.1462485,112.5655388,49.60332022
39.369259,46.08228412,100.5472426,139.1462485,112.5655388,49.60332022,26.28804327
46.08228412,100.5472426,139.1462485,112.5655388,49.60332022,26.28804327,20.5085314
100.5472426,139.1462485,112.5655388,49.60332022,26.28804327,20.5085314,16.88012195
139.1462485,112.5655388,49.60332022,26.28804327,20.5085314,16.88012195,37.41687333
112.5655388,49.60332022,26.28804327,20.5085314,16.88012195,37.41687333,51.27322757
49.60332022,26.28804327,20.5085314,16.88012195,37.41687333,51.27322757,45.85410229
26.28804327,20.5085314,16.88012195,37.41687333,51.27322757,45.85410229,22.47721858
20.5085314,16.88012195,37.41687333,51.27322757,45.85410229,22.47721858,18.72972577
16.88012195,37.41687333,51.27322757,45.85410229,22.47721858,18.72972577,30.73667915
37.41687333,51.27322757,45.85410229,22.47721858,18.72972577,30.73667915,40.47597242
51.27322757,45.85410229,22.47721858,18.72972577,30.73667915,40.47597242,44.15629256
45.85410229,22.47721858,18.72972577,30.73667915,40.47597242,44.15629256,43.65969773
22.47721858,18.72972577,30.73667915,40.47597242,44.15629256,43.65969773,28.57569662
18.72972577,30.73667915,40.47597242,44.15629256,43.65969773,28.57569662,44.37394259
30.73667915,40.47597242,44.15629256,43.65969773,28.57569662,44.37394259,109.0847804
40.47597242,44.15629256,43.65969773,28.57569662,44.37394259,109.0847804,150.0738409
44.15629256,43.65969773,28.57569662,44.37394259,109.0847804,150.0738409,121.4427392
43.65969773,28.57569662,44.37394259,109.0847804,150.0738409,121.4427392,42.75521678
28.57569662,44.37394259,109.0847804,150.0738409,121.4427392,42.75521678,58.88064382
44.37394259,109.0847804,150.0738409,121.4427392,42.75521678,58.88064382,78.53737108
109.0847804,150.0738409,121.4427392,42.75521678,58.88064382,78.53737108,99.44310075
150.0738409,121.4427392,42.75521678,58.88064382,78.53737108,99.44310075,92.30130822
121.4427392,42.75521678,58.88064382,78.53737108,99.44310075,92.30130822,40.52575834
42.75521678,58.88064382,78.53737108,99.44310075,92.30130822,40.52575834,9.191288192
58.88064382,78.53737108,99.44310075,92.30130822,40.52575834,9.191288192,14.95887728
78.53737108,99.44310075,92.30130822,40.52575834,9.191288192,14.95887728,65.44283143
99.44310075,92.30130822,40.52575834,9.191288192,14.95887728,65.44283143,89.75156534
92.30130822,40.52575834,9.191288192,14.95887728,65.44283143,89.75156534,61.52763006
40.52575834,9.191288192,14.95887728,65.44283143,89.75156534,61.52763006,23.77906633
9.191288192,14.95887728,65.44283143,89.75156534,61.52763006,23.77906633,29.67263857
