lendiff1,lendiff2,lendiff3,lendiff4,lendiff5,lendiff6,lendiff7,lendiff8,lendiff9,lendiff10,lendiff11,lendiff12
114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637
-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005
-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521
61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383
-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222
84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533
-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543
5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062
-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485
-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587
76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815
-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363
23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074
12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208
-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657
-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139
74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809
-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128
-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132
49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354
3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354,17.71986515
-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354,17.71986515,-43.02990547
52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354,17.71986515,-43.02990547,55.64785215
3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354,17.71986515,-43.02990547,55.64785215,-41.28749379
-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354,17.71986515,-43.02990547,55.64785215,-41.28749379,-29.78515457
52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354,17.71986515,-43.02990547,55.64785215,-41.28749379,-29.78515457,73.55312178
-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354,17.71986515,-43.02990547,55.64785215,-41.28749379,-29.78515457,73.55312178,-29.01720174
6.764028809,24.98789128,-49.55566132,26.94680354,17.71986515,-43.02990547,55.64785215,-41.28749379,-29.78515457,73.55312178,-29.01720174,-14.85245233
24.98789128,-49.55566132,26.94680354,17.71986515,-43.02990547,55.64785215,-41.28749379,-29.78515457,73.55312178,-29.01720174,-14.85245233,37.56089269
-49.55566132,26.94680354,17.71986515,-43.02990547,55.64785215,-41.28749379,-29.78515457,73.55312178,-29.01720174,-14.85245233,37.56089269,-76.73507733
26.94680354,17.71986515,-43.02990547,55.64785215,-41.28749379,-29.78515457,73.55312178,-29.01720174,-14.85245233,37.56089269,-76.73507733,70.40832821
17.71986515,-43.02990547,55.64785215,-41.28749379,-29.78515457,73.55312178,-29.01720174,-14.85245233,37.56089269,-76.73507733,70.40832821,-13.23114868
-43.02990547,55.64785215,-41.28749379,-29.78515457,73.55312178,-29.01720174,-14.85245233,37.56089269,-76.73507733,70.40832821,-13.23114868,17.26679048
55.64785215,-41.28749379,-29.78515457,73.55312178,-29.01720174,-14.85245233,37.56089269,-76.73507733,70.40832821,-13.23114868,17.26679048,-83.84295761
-41.28749379,-29.78515457,73.55312178,-29.01720174,-14.85245233,37.56089269,-76.73507733,70.40832821,-13.23114868,17.26679048,-83.84295761,87.67301441
-29.78515457,73.55312178,-29.01720174,-14.85245233,37.56089269,-76.73507733,70.40832821,-13.23114868,17.26679048,-83.84295761,87.67301441,-25.10293342
73.55312178,-29.01720174,-14.85245233,37.56089269,-76.73507733,70.40832821,-13.23114868,17.26679048,-83.84295761,87.67301441,-25.10293342,-3.834195387
-29.01720174,-14.85245233,37.56089269,-76.73507733,70.40832821,-13.23114868,17.26679048,-83.84295761,87.67301441,-25.10293342,-3.834195387,-4.609666043
-14.85245233,37.56089269,-76.73507733,70.40832821,-13.23114868,17.26679048,-83.84295761,87.67301441,-25.10293342,-3.834195387,-4.609666043,5.836265545
